target_month,nowcast_cpi,nowcast_core_cpi,actual_cpi,actual_core_cpi,error_cpi,error_core_cpi
2013-08-01,0.1248922461,0.1404224952,0.23872906826962748,0.19497178040022156,-0.11383682216962747,-0.054549285200221564
2013-09-01,0.2031578759,0.1460007406,0.037694469193350066,0.15533251399697523,0.16546340670664994,-0.009331773396975218
2013-10-01,-0.0355596994,0.1433592299,0.053523104853914205,0.09416276097145015,-0.08908280425391421,0.04919646892854984
2013-11-01,0.03474188,0.1391342796,0.18444894273523804,0.18644565619931885,-0.14970706273523804,-0.04731137659931886
2013-12-01,0.2714486084,0.1423809511,0.2644169158479315,0.16995313542289558,0.007031692552068536,-0.02757218432289557
2014-01-01,0.0728332113,0.1421221298,0.24241752904536895,0.08568071632473195,-0.16958431774536895,0.05644141347526804
2014-02-01,0.0387041541,0.1339858619,0.11007786202441583,0.09493094197770002,-0.07137370792441583,0.03905491992229998
2014-03-01,0.0641329213,0.1290506208,0.204205530106516,0.1862946419120659,-0.14007260880651598,-0.05724402111206592
2014-04-01,0.249140648,0.1363840151,0.18641856050976013,0.18890649762282052,0.06272208749023986,-0.05252248252282052
2014-05-01,0.1480268838,0.1509527362,0.19030059035471947,0.19276844165485585,-0.04227370655471946,-0.041815705454855856
2014-06-01,0.3263958589,0.161006899,0.1321132206079767,0.12966837733496828,0.1942826382920233,0.03133852166503173
2014-07-01,0.1259014736,0.1592250569,0.11254852864928111,0.15052325752511475,0.013352944950718898,0.008701799374885244
2014-08-01,-0.012453,0.153292,-0.01600013473797013,0.08816305967800364,0.003547134737970128,0.06512894032199637
2014-09-01,0.1316994938,0.1429763121,0.007159100480080838,0.1598120844780837,0.12454039331991917,-0.016835772378083702
2014-10-01,-0.012404,0.143594,-0.019791390324119806,0.16960793346343372,0.007387390324119806,-0.026013933463433725
2014-11-01,-0.143693,0.150226,-0.18826601524659647,0.11162627356380295,0.04457301524659649,0.03859972643619705
2014-12-01,-0.395588,0.141569,-0.30846094445592387,0.05261883085969643,-0.08712705554407613,0.08895016914030357
2015-01-01,-0.686287,0.133485,-0.6370316441765556,0.09474756244156612,-0.049255355823444424,0.03873743755843387
2015-02-01,0.216519,0.135828,0.25346436802173855,0.15053521314700724,-0.03694536802173856,-0.014707213147007236
2015-03-01,0.347845,0.140098,0.26939517808124425,0.2427427010642358,0.07844982191875577,-0.10264470106423579
2015-04-01,0.068717,0.145033,0.10424788961589382,0.2454777678552844,-0.03553088961589382,-0.10044476785528442
2015-05-01,0.55617,0.149871,0.3297745341246827,0.14170526961292396,0.22639546587531734,0.008165730387076048
2015-06-01,0.286598,0.142727,0.27679208104607333,0.15557247360233895,0.009805918953926684,-0.012845473602338953
2015-07-01,0.169922,0.146222,0.15863197801873063,0.20697005750545117,0.011290021981269355,-0.060748057505451175
2015-08-01,-0.075437,0.149073,-0.000420108051790713,0.10388967905510249,-0.07501689194820929,0.04518332094489752
2015-09-01,-0.214369,0.150956,-0.22475875193775918,0.20550455692969205,0.010389751937759178,-0.054548556929692044
2015-10-01,0.170908,0.156473,0.09894820166906904,0.18576665735092757,0.07195979833093097,-0.029293657350927566
2015-11-01,-0.062977,0.158179,0.11946174910508756,0.19403695316859704,-0.18243874910508756,-0.03585795316859705
2015-12-01,0.002131,0.16671,-0.10755534268560574,0.1252860903779407,0.10968634268560573,0.0414239096220593
2016-01-01,-0.06303,0.172813,-0.04584435630738959,0.16683909432542166,-0.017185643692610414,0.005973905674578339
2016-02-01,-0.331281,0.182845,-0.13296753235823022,0.22657222755197992,-0.19831346764176977,-0.043727227551979914
2016-03-01,0.242323,0.192883,0.31347962382444194,0.164148099873751,-0.07115662382444193,0.02873490012624899
2016-04-01,0.335551,0.181547,0.38306451612901693,0.25944134714308564,-0.04751351612901694,-0.07789434714308566
2016-05-01,0.267472,0.177175,0.23640958693178504,0.2376790197565759,0.031062413068214945,-0.060504019756575905
2016-06-01,0.259235,0.184407,0.2775957287827202,0.1630674484192962,-0.018360728782720215,0.021339551580703775
2016-07-01,-0.027776,0.184228,-0.05037007434789409,0.11674880827341472,0.02259407434789409,0.06747919172658529
2016-08-01,0.0700692244,0.1786597704,0.18492217858316895,0.23968139321870474,-0.11485295418316895,-0.06102162281870474
2016-09-01,0.279594344092144,0.189752700565587,0.26232097944252075,0.16866393208359032,0.017273364649623257,0.021088768481996673
2016-10-01,0.340800891185665,0.182745137424363,0.23426874979268764,0.12055842663214467,0.10653214139297734,0.062186710792218325
2016-11-01,0.168389024087877,0.178804418027778,0.11789477167711837,0.13606698188182165,0.05049425241075864,0.04273743614595635
2016-12-01,0.279233732519359,0.176411676496246,0.2524522158776188,0.17596530397103738,0.02678151664174022,0.000446372525208627
2017-01-01,0.289784347355767,0.183236627339419,0.4043076694815628,0.2188700384122999,-0.1145233221257958,-0.0356334110728809
2017-02-01,0.0301942930898873,0.186721168586962,0.15926573570097524,0.21200397657175074,-0.12907144261108794,-0.02528280798478874
