Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
08/20,0.1622798409,0.1404224952,0.1181246353,0.1024840705
08/21,0.1353778859,0.1404224952,0.1040674488,0.1024840705
08/22,0.1353778859,0.1404224952,0.1040674488,0.1024840705
08/23,0.1353778859,0.1404224952,0.1040674488,0.1024840705
08/26,0.1353778859,0.1404224952,0.1040674488,0.1024840705
08/27,0.1248922461,0.1404224952,0.0979955205,0.1024840705
08/28,0.1248922461,0.1404224952,0.0979955205,0.1024840705
08/29,0.1248922461,0.1404224952,0.0979955205,0.1024840705
08/30,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/03,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/04,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/05,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/06,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/09,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/10,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/11,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/12,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/13,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/16,0.1248922461,0.1404224952,0.0949263408,0.099364721
09/17,,,0.0874538778,0.0992484737
09/18,,,0.0874538778,0.0992484737
09/19,,,0.0874538778,0.0992484737
09/20,,,0.0874538778,0.0992484737
09/23,,,0.0874538778,0.0992484737
09/24,,,0.0874538778,0.0992484737
09/25,,,0.0874538778,0.0992484737
09/26,,,0.0874538778,0.0992484737
09/27,,,,
