Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
02/02,0.357529611924919,0.199186991619631,0.312447983072446,0.22687666104588
02/03,0.218141627660188,0.199186991619631,0.228504041227305,0.22687666104588
02/04,0.201565894296228,0.199186991619631,0.218521599735776,0.22687666104588
02/05,0.201565894296228,0.199186991619631,0.218521599735776,0.22687666104588
02/06,0.201565894296228,0.199186991619631,0.218521599735776,0.22687666104588
02/09,0.201565894296228,0.199186991619631,0.218521599735776,0.22687666104588
02/10,0.201565894296228,0.199186991619631,0.218521599735776,0.22687666104588
02/11,0.220594120905871,0.199186991619631,0.229981011796018,0.22687666104588
02/12,0.220594120905871,0.199186991619631,0.229981011796018,0.22687666104588
02/13,0.222389338481627,0.207033634112613,0.229006423864164,0.228993459862958
02/17,0.222389338481627,0.207033634112613,0.229006423864164,0.228993459862958
02/18,0.222389338481627,0.207033634112613,0.229006423864164,0.228993459862958
02/19,0.237275595604028,0.207033634112613,0.237929314604155,0.228993459862958
02/20,0.237275595604028,0.207033634112613,0.249539770690116,0.24273805328582
02/23,0.237275595604028,0.207033634112613,0.249539770690116,0.24273805328582
02/24,0.237275595604028,0.207033634112613,0.249539770690116,0.24273805328582
02/25,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
02/26,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
02/27,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
03/02,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
03/03,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
03/04,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
03/05,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
03/06,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
03/09,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
03/10,0.248613384458881,0.207033634112613,0.256286537569794,0.24273805328582
03/11,,,0.254857143097494,0.234730296699194
03/12,,,0.254857143097494,0.234730296699194
03/13,,,0.247886112195233,0.231658387470621
03/16,,,0.247886112195233,0.231658387470621
03/17,,,0.247886112195233,0.231658387470621
03/18,,,0.247886112195233,0.231658387470621
03/19,,,0.247886112195233,0.231658387470621
03/20,,,0.247886112195233,0.231658387470621
03/23,,,0.247886112195233,0.231658387470621
03/24,,,0.247886112195233,0.231658387470621
03/25,,,0.247886112195233,0.231658387470621
03/26,,,0.247886112195233,0.231658387470621
03/27,,,0.247886112195233,0.231658387470621
03/30,,,0.247886112195233,0.231658387470621
03/31,,,0.247886112195233,0.231658387470621
04/01,,,0.247886112195233,0.231658387470621
04/02,,,0.247886112195233,0.231658387470621
04/03,,,0.247886112195233,0.231658387470621
04/06,,,0.247886112195233,0.231658387470621
04/07,,,0.247886112195233,0.231658387470621
04/08,,,0.247886112195233,0.231658387470621
04/09,,,,
