Date,Adj Close,Close,High,Low,Open,Volume,Return
1968-01-02,2.9281198978424072,14.663002014160156,14.9916353225708,14.663002014160156,14.9856595993042,225936,
1968-01-03,2.892324924468994,14.483748435974121,14.722752571105957,14.352293968200684,14.663002014160156,640152,-0.012224558632243365
1968-01-04,2.8099935054779053,14.071462631225586,14.382169723510742,14.071462631225586,14.382169723510742,757304,-0.028465480587802294
1968-01-05,2.8302764892578125,14.173040390014648,14.328393936157227,14.113288879394531,14.113288879394531,828432,0.007218160376658123
1968-01-08,2.851754903793335,14.280592918395996,14.292543411254883,14.196941375732422,14.196941375732422,426768,0.007588804350756151
1968-01-09,2.856529474258423,14.304492950439453,14.412046432495117,14.286567687988281,14.286567687988281,585760,0.0016742569491987602
1968-01-10,2.8827786445617676,14.435946464538574,14.447896957397461,14.322419166564941,14.322419166564941,376560,0.009189182376687866
1968-01-11,2.906641721725464,14.555448532104492,14.674951553344727,14.477771759033203,14.477771759033203,414216,0.008277804197249994
1968-01-12,2.940049648284912,14.722752571105957,14.830306053161621,14.627150535583496,14.627150535583496,543920,0.011493651353637224
1968-01-15,2.973461866378784,14.890056610107422,14.961758613586426,14.770553588867188,14.770553588867188,506264,0.011364508117528871
1968-01-16,2.940049648284912,14.722752571105957,14.931882858276367,14.722752571105957,14.890056610107422,251040,-0.011236807329418674
1968-01-17,2.940049648284912,14.722752571105957,14.73470401763916,14.555448532104492,14.722752571105957,510448,0.0
1968-01-18,2.9663023948669434,14.854207038879395,14.913957595825195,14.794454574584961,14.794454574584961,401664,0.008929354848597804
1968-01-19,2.9639155864715576,14.842255592346191,14.913957595825195,14.74665355682373,14.854207038879395,305432,-0.0008046409562005863
1968-01-22,2.8970959186553955,14.507648468017578,14.794454574584961,14.483748435974121,14.794454574584961,359824,-0.022544389631456663
1968-01-23,2.973461866378784,14.890056610107422,14.961758613586426,14.459847450256348,14.507648468017578,631784,0.026359482001145462
1968-01-24,2.9305059909820557,14.674951553344727,14.902008056640625,14.674951553344727,14.890056610107422,694544,-0.01444641879636488
1968-01-25,2.944824457168579,14.74665355682373,14.78250503540039,14.423995971679688,14.674951553344727,757304,0.004886004748185124
1968-01-26,2.9519851207733154,14.78250503540039,14.836280822753906,14.770553588867188,14.770553588867188,376560,0.0024316096626082473
1968-01-29,2.9328927993774414,14.686902046203613,14.818355560302734,14.674951553344727,14.78250503540039,334720,-0.006467621148060654
1968-01-30,2.9090263843536377,14.567399978637695,14.639101028442383,14.483748435974121,14.639101028442383,439320,-0.008137499955289784
1968-01-31,2.837435245513916,14.208890914916992,14.483748435974121,14.137188911437988,14.483748435974121,493712,-0.024609999835264018
1968-02-01,2.8613011837005615,14.328393936157227,14.334368705749512,14.196941375732422,14.208890914916992,820064,0.008411095274994729
1968-02-02,2.8445944786071777,14.244742393493652,14.388145446777344,14.179015159606934,14.328393936157227,589944,-0.005838848838617072
1968-02-05,2.8340721130371094,14.161089897155762,14.208890914916992,14.077438354492188,14.208890914916992,422584,-0.003699074032942784
1968-02-06,2.807762622833252,14.029637336730957,14.137188911437988,14.017685890197754,14.137188911437988,476976,-0.009283281848344704
1968-02-07,2.8340721130371094,14.161089897155762,14.161089897155762,14.0654878616333,14.0654878616333,447688,0.009370268693622341
1968-02-08,2.7695000171661377,13.838432312011719,14.137188911437988,13.838432312011719,14.137188911437988,757304,-0.022784210597158516
1968-02-09,2.7312326431274414,13.647228240966797,13.754779815673828,13.587475776672363,13.754779815673828,1267752,-0.013817430511465778
1968-02-13,2.7312326431274414,13.647228240966797,13.790631294250488,13.623327255249023,13.647228240966797,665256,0.0
1968-02-14,2.798199415206909,13.981836318969727,14.005736351013184,13.671128273010254,13.671128273010254,1075288,0.02451888243499689
1968-02-15,2.8029820919036865,14.005736351013184,14.161089897155762,14.005736351013184,14.005736351013184,694544,0.0017091979473606855
1968-02-16,2.7599329948425293,13.790631294250488,13.838432312011719,13.683077812194824,13.838432312011719,669440,-0.015358320406506754
1968-02-19,2.798797130584717,13.984823226928711,14.053537368774414,13.790631294250488,13.790631294250488,322168,0.014081550463294734
1968-02-20,2.8460299968719482,14.220841407775879,14.220841407775879,14.005736351013184,14.005736351013184,372376,0.016876130738837647
1968-02-21,2.8651623725891113,14.316444396972656,14.340344429016113,14.244742393493652,14.244742393493652,569024,0.006722478588838232
1968-02-23,2.8209190368652344,14.095362663269043,14.274618148803711,14.041586875915527,14.274618148803711,447688,-0.015441824919645408
1968-02-26,2.8101565837860107,14.041586875915527,14.113288879394531,14.011711120605469,14.095362663269043,301248,-0.0038152293414218663
1968-02-27,2.841245174407959,14.196941375732422,14.196941375732422,13.993785858154297,14.041586875915527,255224,0.011062938912842935
1968-02-28,2.8221137523651123,14.101338386535645,14.256691932678223,14.029637336730957,14.196941375732422,548104,-0.0067334639809227825
1968-02-29,2.774282693862915,13.862333297729492,14.005736351013184,13.814532279968262,14.005736351013184,405848,-0.01694866426348396
1968-03-01,2.7599329948425293,13.790631294250488,13.862333297729492,13.778680801391602,13.862333297729492,376560,-0.0051723997169175195
1968-03-04,2.688185691833496,13.432122230529785,13.712953567504883,13.384321212768555,13.712953567504883,1075288,-0.025996030752596933
1968-03-05,2.725253105163574,13.617351531982422,13.659177780151367,13.408222198486328,13.432122230529785,912112,0.0137890077470042
1968-03-06,2.8101565837860107,14.041586875915527,14.101338386535645,13.527725219726562,13.617351531982422,1196624,0.031154346163873248
1968-03-07,2.798199415206909,13.981836318969727,14.101338386535645,13.88623332977295,14.041586875915527,497896,-0.0042549830312273995
1968-03-08,2.7718896865844727,13.850381851196289,13.910134315490723,13.766730308532715,13.910134315490723,347272,-0.009402378000458178
1968-03-11,2.8364648818969727,14.173040390014648,14.19096565246582,13.874282836914062,13.874282836914062,619232,0.023296452100902254
1968-03-12,2.8484227657318115,14.232791900634766,14.26864242553711,14.005736351013184,14.173040390014648,615048,0.004215770098602967
1968-03-13,2.8245058059692383,14.113288879394531,14.208890914916992,14.089387893676758,14.208890914916992,276144,-0.008396562494271675
1968-03-14,2.7407989501953125,13.695029258728027,14.008724212646484,13.695029258728027,14.008724212646484,673624,-0.029635929795938765
1968-03-15,2.817929744720459,14.080425262451172,14.173040390014648,13.706978797912598,13.706978797912598,924664,0.02814171923104758
1968-03-18,2.8257033824920654,14.119263648986816,14.316444396972656,14.119263648986816,14.119263648986816,694544,0.002758634343588806
1968-03-19,2.78145694732666,13.898183822631836,14.149140357971191,13.898183822631836,14.119263648986816,443504,-0.01565855618093326
1968-03-20,2.806567668914795,14.023661613464355,14.077438354492188,13.957935333251953,13.957935333251953,322168,0.009027902305757118
1968-03-21,2.774282693862915,13.862333297729492,14.0654878616333,13.862333297729492,14.023661613464355,364008,-0.011503365983106084
1968-03-22,2.8005895614624023,13.993785858154297,14.220841407775879,13.844407081604004,13.862333297729492,820064,0.009482403382208071
1968-03-25,2.8101565837860107,14.041586875915527,14.077438354492188,13.957935333251953,13.993785858154297,221752,0.0034160744063520543
1968-03-26,2.841245174407959,14.196941375732422,14.244742393493652,14.101338386535645,14.101338386535645,305432,0.011062938912842935
1968-03-27,2.860379695892334,14.292543411254883,14.334368705749512,14.220841407775879,14.220841407775879,397480,0.0067345548552888435
1968-03-28,2.8723385334014893,14.352293968200684,14.447896957397461,14.292543411254883,14.292543411254883,548104,0.004180856662606258
1968-03-29,2.929738759994507,14.639101028442383,14.651052474975586,14.394120216369629,14.394120216369629,832616,0.01998379575580289
1968-04-01,3.018228054046631,15.08126163482666,15.105162620544434,14.949809074401855,14.949809074401855,920480,0.03020381723464305
1968-04-02,3.037360906600952,15.176863670349121,15.236616134643555,14.937858581542969,15.08126163482666,1125496,0.006339101026070271
1968-04-03,3.0564942359924316,15.272466659545898,15.487571716308594,15.141013145446777,15.176863670349121,1368168,0.006299326941983763
1968-04-04,3.04931902885437,15.236616134643555,15.260516166687012,15.015535354614258,15.260516166687012,907928,-0.0023475284375047423
1968-04-05,3.0134432315826416,15.057360649108887,15.260516166687012,15.009559631347656,15.236616134643555,702912,-0.011765183285924352
1968-04-08,3.070845365524292,15.344167709350586,15.36806869506836,15.093212127685547,15.093212127685547,585760,0.019048686014736527
1968-04-10,3.0660603046417236,15.320267677307129,15.487571716308594,15.320267677307129,15.344167709350586,803328,-0.0015582226758433793
1968-04-11,3.1043245792388916,15.51147174835205,15.523423194885254,15.272466659545898,15.320267677307129,723832,0.012479948466519009
1968-04-15,3.100738048553467,15.493547439575195,15.532384872436523,15.427820205688477,15.51147174835205,313800,-0.0011553336624046118
1968-04-16,3.085193634033203,15.41586971282959,15.46367073059082,15.344167709350586,15.46367073059082,338904,-0.005013133736826103
1968-04-17,3.0756261348724365,15.36806869506836,15.40392017364502,15.344167709350586,15.40392017364502,188280,-0.003101101679721552
1968-04-18,3.061276435852051,15.296366691589355,15.391968727111816,15.284417152404785,15.36806869506836,284512,-0.004665618768706747
1968-04-19,3.0445358753204346,15.212715148925781,15.314292907714844,15.212715148925781,15.296366691589355,276144,-0.005468490311936414
1968-04-22,3.042141914367676,15.200764656066895,15.272466659545898,15.12906265258789,15.212715148925781,330536,-0.0007863139246164774
1968-04-23,3.133024215698242,15.654875755310059,15.654875755310059,15.296366691589355,15.654875755310059,602496,0.02987444500907066
1968-04-24,3.123462438583374,15.607074737548828,15.84607982635498,15.583173751831055,15.654875755310059,615048,-0.0030519320811368544
1968-04-25,3.1378085613250732,15.678775787353516,15.762428283691406,15.583173751831055,15.607074737548828,422584,0.0045930191330252335
1968-04-26,3.152158498764038,15.75047779083252,15.822179794311523,15.654875755310059,15.678775787353516,255224,0.004573235479000903
1968-04-29,3.1975996494293213,15.977533340454102,15.989483833312988,15.75047779083252,15.75047779083252,376560,0.014415883808856833
1968-04-30,3.240648031234741,16.192638397216797,16.192638397216797,16.013383865356445,16.013383865356445,485344,0.01346271782745001
1968-05-01,3.28130841255188,16.395793914794922,16.407743453979492,16.22848892211914,16.22848892211914,556472,0.01254699088738942
1968-05-02,3.32914137840271,16.634798049926758,16.766252517700195,16.563098907470703,16.563098907470703,644336,0.014577406277281435
1968-05-03,3.2970311641693115,16.44359588623047,16.706501007080078,16.419694900512695,16.634798049926758,602496,-0.009645193935502006
1968-05-06,3.2874462604522705,16.395793914794922,16.503345489501953,16.252389907836914,16.44359588623047,615048,-0.002907131670821128
1968-05-07,3.2958335876464844,16.437620162963867,16.503345489501953,16.37786865234375,16.395793914794922,410032,0.0025513199394657793
1968-05-08,3.292238235473633,16.419694900512695,16.437620162963867,16.37189292907715,16.437620162963867,305432,-0.0010908779455151008
1968-05-09,3.2706704139709473,16.31214141845703,16.44359588623047,16.276290893554688,16.419694900512695,305432,-0.0065511120277669255
1968-05-10,3.2479121685028076,16.1986141204834,16.395793914794922,16.168737411499023,16.31214141845703,393296,-0.006958281510397901
1968-05-13,3.2107698917388916,16.013383865356445,16.180688858032227,15.989483833312988,16.180688858032227,410032,-0.011435739280178159
1968-05-14,3.2155637741088867,16.03728485107422,16.097036361694336,15.917781829833984,16.013383865356445,213384,0.0014930632003027355
1968-05-15,3.2059805393218994,15.989483833312988,16.02533531188965,15.917781829833984,16.02533531188965,405848,-0.002980265813463112
1968-05-16,3.174830913543701,15.83413028717041,16.013383865356445,15.83413028717041,15.989483833312988,309616,-0.009716099457293237
1968-05-17,3.114928960800171,15.535372734069824,15.690727233886719,15.41586971282959,15.690727233886719,799144,-0.01886776158314163
1968-05-20,3.113729953765869,15.529397964477539,15.619025230407715,15.475621223449707,15.535372734069824,405848,-0.0003849227540629885
1968-05-21,3.1628520488739014,15.774378776550293,15.774378776550293,15.493547439575195,15.529397964477539,485344,0.015775965108541845
1968-05-22,3.1532657146453857,15.726576805114746,15.989483833312988,15.726576805114746,15.774378776550293,681992,-0.0030309145291600448
1968-05-23,3.129303216934204,15.607074737548828,15.690727233886719,15.559272766113281,15.690727233886719,523000,-0.007599263709330728
1968-05-24,3.158057928085327,15.75047779083252,15.75047779083252,15.583173751831055,15.75047779083252,476976,0.009188854245736566
1968-05-27,3.186811923980713,15.893880844116211,15.953633308410645,15.774378776550293,15.774378776550293,920480,0.009104961514375676
1968-05-28,3.2155637741088867,16.03728485107422,16.03728485107422,15.858031272888184,15.893880844116211,956044,0.00902213585678413
1968-05-29,3.3138010501861572,16.527246475219727,16.527246475219727,16.10898780822754,16.10898780822754,895376,0.030550560641421143
1968-05-31,3.421628475189209,17.06501007080078,17.06501007080078,16.682600021362305,16.682600021362305,972780,0.03253889517507225
1968-06-03,3.594144582748413,17.925430297851562,17.925430297851562,17.638622283935547,17.638622283935547,1146416,0.05041929853289062
1968-06-04,3.5438284873962402,17.674474716186523,17.925430297851562,17.590822219848633,17.925430297851562,1031356,-0.013999463347603158
1968-06-05,3.4983036518096924,17.447418212890625,17.710325241088867,17.351816177368164,17.674474716186523,629692,-0.012846229931402942
1968-06-06,3.5270564556121826,17.590822219848633,17.66252326965332,17.495220184326172,17.495220184326172,673624,0.008219070345027335
1968-06-07,3.5462255477905273,17.686424255371094,17.710325241088867,17.543020248413086,17.590822219848633,499988,0.0054348696766231
1968-06-10,3.5534119606018066,17.722274780273438,17.770076751708984,17.42351722717285,17.686424255371094,491620,0.0020264962604414904
1968-06-11,3.5462255477905273,17.686424255371094,17.770076751708984,17.638622283935547,17.722274780273438,407940,-0.002022397878703064
1968-06-13,3.450381278991699,17.208412170410156,17.770076751708984,17.148662567138672,17.686424255371094,709188,-0.027027121514745067
1968-06-14,3.4096481800079346,17.005258560180664,17.160612106323242,16.826004028320312,17.160612106323242,951860,-0.01180539067719144
1968-06-17,3.320991039276123,16.563098907470703,17.112810134887695,16.491395950317383,17.112810134887695,619232,-0.02600184419367435
1968-06-18,3.323387622833252,16.575048446655273,16.73040199279785,16.503345489501953,16.563098907470703,715464,0.000721647101357803
1968-06-20,3.436004400253296,17.13671112060547,17.13671112060547,16.80210304260254,16.80210304260254,899560,0.03388613974677912
1968-06-21,3.4336061477661133,17.1247615814209,17.196462631225586,17.005258560180664,17.13671112060547,562748,-0.0006979771291928394
1968-06-24,3.3377623558044434,16.64674949645996,17.112810134887695,16.634798049926758,17.112810134887695,389112,-0.02791344954459185
1968-06-25,3.3976688385009766,16.945507049560547,17.06501007080078,16.682600021362305,16.682600021362305,541828,0.017948097051413647
1968-06-27,3.4551732540130615,17.23231315612793,17.23231315612793,17.029159545898438,17.029159545898438,562748,0.016924667542777883
1968-06-28,3.3904786109924316,16.909656524658203,17.196462631225586,16.80210304260254,17.196462631225586,311708,-0.018723993925771842
1968-07-01,3.368912696838379,16.80210304260254,17.017208099365234,16.64674949645996,16.909656524658203,376560,-0.006360728566206841
